Airport name,DST,IATA,ICAO,Location served,Time
Chañaral Airport,Aug-May,CNR,SCRA,"Chañaral, Chile",UTC−04:00
Cairns Airport,,CNS,YBCS,"Cairns, Queensland, Australia",UTC+10:00
Charata Airport,,CNT,,"Charata, Chaco, Argentina",UTC−03:00
Chanute Martin Johnson Airport,Mar-Nov,CNU,KCNU,"Chanute, Kansas, United States",UTC−06:00
Canavieiras Airport,,CNV,SNED,"Canavieiras, Bahia, Brazil",UTC−03:00
TSTC Waco Airport,Mar-Nov,CNW,KCNW,"Waco, Texas, United States",UTC−06:00
Chiang Mai International Airport,,CNX,VTCC,"Chiang Mai, Thailand",UTC+07:00
Canyonlands Field,Mar-Nov,CNY,KCNY,"Moab, Utah, United States",UTC−07:00
Cangamba Airport,,CNZ,,"Cangamba, Angola",UTC+01:00
Columbia Airport (FAA: O22),Mar-Nov,COA,,"Columbia, California, United States",UTC−08:00
Coolibah Airport,,COB,,"Coolibah Station, Northern Territory, Australia",UTC+09:30
Comodoro Pierrestegui Airport,,COC,SAAC,"Concordia, Entre Ríos, Argentina",UTC−03:00
Yellowstone Regional Airport,Mar-Nov,COD,KCOD,"Cody, Wyoming, United States",UTC−07:00
Coeur d'Alene Airport,Mar-Nov,COE,KCOE,"Coeur d'Alene, Idaho, United States",UTC−08:00
Patrick Air Force Base,Mar-Nov,COF,KCOF,"Cocoa Beach, Florida, United States",UTC−05:00
Mandinga Airport,,COG,SKCD,"Condoto, Colombia",UTC−05:00
Cooch Behar Airport,,COH,VECO,"Cooch Behar, West Bengal, India",UTC+05:30
Merritt Island Airport,Mar-Nov,COI,KCOI,"Merritt Island, Florida, United States",UTC−05:00
Coonabarabran Airport,Oct-Apr,COJ,YCBB,"Coonabarabran, New South Wales, Australia",UTC+10:00
Cochin International Airport (Nedumbassery Airport),,COK,VOCI,"Kochi (Cochin), Kerala, India",UTC+05:30
Coll Airport,Mar-Oct,COL,,"Coll, Scotland, United Kingdom",UTC±00:00
Coleman Municipal Airport,Mar-Nov,COM,KCOM,"Coleman, Texas, United States",UTC−06:00
Concord Municipal Airport,Mar-Nov,CON,KCON,"Concord, New Hampshire, United States",UTC−05:00
Cadjehoun Airport,,COO,DBBB,"Cotonou, Benin",UTC+01:00
Cooperstown-Westville Airport (FAA: K23),Mar-Nov,COP,,"Cooperstown, New York, United States",UTC−05:00
Choibalsan Airport,,COQ,ZMCD,"Choibalsan, Mongolia",UTC+08:00
Ingeniero Aeronáutico Ambrosio L.V. Taravella International Airport (Pajas Blancas),,COR,SACO,"Córdoba, Córdoba, Argentina",UTC−03:00
Colorado Springs Airport,Mar-Nov,COS,KCOS,"Colorado Springs, Colorado, United States",UTC−07:00
Cotulla–La Salle County Airport,Mar-Nov,COT,KCOT,"Cotulla, Texas, United States",UTC−06:00
